Geo Point;Geo Shape;OBJECTID;ID_REF_ZDL;ID_REF_ZDE;GARES_ID;NOM_GARE;NOMLONG;NOM_IV;NUM_MOD;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;IDREFLIGA;IDREFLIGC;LIGNE;COD_LIGF;LIGNE_CODE;INDICE_LIG;RESEAU;RES_COM;COD_RESF;RES_STIF;EXPLOITANT;NUM_PSR;IDF;PRINCIPAL;X;Y
48.8561407093, 2.37020933841;"{""type"": ""Point"", ""coordinates"": [2.370209338414258, 48.85614070934924, 0.0]}";9.0;42390.0;22008.0;107.0;Bréguet-Sabin;BREGUET-SABIN;Bréguet-Sabin;2107.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105069;5;METRO;M5;3.0;110.0;RATP;0.0;1.0;0.0;653789.985;6861973.5
48.8321105601, 2.23863934858;"{""type"": ""Point"", ""coordinates"": [2.238639348575401, 48.832110560110216, 0.0]}";12.0;42334.0;21939.0;74.0;Billancourt;BILLANCOURT;Billancourt;2261.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109023;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;644110.73;6859386.661
48.8839585735, 2.33192659089;"{""type"": ""Point"", ""coordinates"": [2.331926590885041, 48.88395857351673, 0.0]}";14.0;42337.0;22125.0;76.0;Blanche;BLANCHE;Blanche;2040.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102063;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;651007.277;6865089.72
48.8808212614, 2.37414715384;"{""type"": ""Point"", ""coordinates"": [2.374147153839052, 48.88082126137613, 0.0]}";18.0;58767.0;24685.0;88.0;Bolivar;BOLIVAR;Bolivar;2364.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01550;;7b;14.0;7b-117037;7b;METRO;M7b;3.0;110.0;RATP;0.0;1.0;0.0;654100.662;6864715.501
48.864766845, 2.3009910035;"{""type"": ""Point"", ""coordinates"": [2.300991003495585, 48.86476684497177, 0.0]}";21.0;42182.0;21935.0;14.0;Alma-Marceau;ALMA-MARCEAU;Alma-Marceau;2249.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109047;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;648719.803;6862975.383
48.8653227117, 2.35672986917;"{""type"": ""Point"", ""coordinates"": [2.356729869173701, 48.865322711678054, 0.0]}";25.0;42230.0;21997.0;27.0;Arts et Métiers;ARTS ET METIERS;Arts et Métiers;2289.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01544;;11;3.0;11-103049;11;METRO;M11;3.0;110.0;RATP;0.0;1.0;0.0;652809.286;6863002.436
48.8655864776, 2.35673675681;"{""type"": ""Point"", ""coordinates"": [2.356736756806098, 48.86558647759969, 0.0]}";26.0;42230.0;21994.0;28.0;Arts et Métiers;ARTS ET METIERS;Arts et Métiers;2066.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103049;3;METRO;M3;3.0;110.0;RATP;0.0;1.0;0.0;652810.031;6863031.76
48.8607869635, 2.32099819195;"{""type"": ""Point"", ""coordinates"": [2.320998191954085, 48.860786963526714, 0.0]}";27.0;45704.0;22060.0;30.0;Assemblée Nationale;ASSEMBLEE NATIONALE;Assemblée Nationale;2312.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112059;12;METRO;M12;3.0;110.0;RATP;0.0;1.0;0.0;650183.714;6862520.047
48.9037599302, 2.39228705964;"{""type"": ""Point"", ""coordinates"": [2.392287059642348, 48.903759930170864, 0.0]}";28.0;46492.0;22394.0;35.0;Aubervilliers-Pantin (4 Chemins);AUBERVILLIERS-PANTIN (QUATRE CHEMINS);Aubervilliers Pantin Quatre Chemins;2186.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107029;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;655450.626;6867255.782
48.8515102782, 2.39830234427;"{""type"": ""Point"", ""coordinates"": [2.398302344267162, 48.85151027816436, 0.0]}";30.0;42271.0;22124.0;44.0;Avron;AVRON;Avron;2026.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102035;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;655847.306;6861442.562
